Protein IDs,Alpha A30P_day_1_1, Alpha A30P_day_1_2, Alpha A30P_day_10_1, Alpha A30P_day_10_2, Alpha A53T_day_1_1, Alpha A53T_day_1_2, Alpha A53T_day_10_1, Alpha A53T_day_10_2, Alpha A53T_day_30_1, Alpha A53T_day_30_2, Alpha _day_1_1, Alpha _day_1_2, Alpha _day_10_1, Alpha _day_10_2, Alpha _day_30_1, Alpha _day_30_2
Q8T008;A8DY95;A1Z8A7,-0.630706622,-1.048800159,-1.363456579,-1.449611509,-0.991943445,#VALUE!,-1.4640665,-1.939094866,#VALUE!,-2.285037984,-1.144903296,#VALUE!,#VALUE!,#VALUE!,-0.6464057,-1.390509777
P12252-4;P12252-5;P12252;E2QD73;P12252-6;P12252-7;Q8IRU4;P12252-3;Q9W4S9-2;Q9W4T0;Q9W4S9,-1.834030194,-2.350706453,-1.820310614,-2.124628824,-1.187871481,#VALUE!,-2.388733175,-2.078198091,#VALUE!,-2.181803871,-1.258321614,-1.648778758,-1.381122377,-2.117787378,-2.122365674,-2.448193627
Q9VIC9,-1.984845019,#VALUE!,-2.193832699,-1.280685113,-1.456999123,#VALUE!,-2.380521254,-2.714633294,-2.430820035,-2.072482754,#VALUE!,#VALUE!,-0.444124961,-1.867120503,#VALUE!,-0.189960043
Q7YU24;O18412,-1.037976699,-1.583549352,-1.725899393,-2.04299178,-0.80404773,-1.256528117,-1.649095461,-1.301017029,#VALUE!,-1.980796266,-0.954640909,-1.284686459,-1.517296252,-2.158815851,-0.537612575,-0.992833209
P08255,0.648925559,-1.958981361,-3.534980511,0.174406419,#VALUE!,#VALUE!,-0.967447724,-1.357825241,-0.627471303,-1.93076529,#VALUE!,-0.369930078,#VALUE!,#VALUE!,#VALUE!,-3.020691654
Q9W391;Q9W391-2;B7Z134;Q6IDE0;Q1RL11,-2.141971247,#VALUE!,-0.919178636,-2.198659207,-1.487904618,#VALUE!,-3.247559673,-2.18632756,#VALUE!,-1.903522231,#VALUE!,#VALUE!,-1.14053926,-1.298282398,-1.24615589,-1.916807059
Q07093,-2.070966521,#VALUE!,-1.9588131,-2.027498493,#VALUE!,#VALUE!,-1.821635918,-1.410313203,-2.970638997,-1.87228749,-0.978434993,-1.161427356,#VALUE!,-1.628653027,#VALUE!,-2.049486794
B7YZV4;B7YZV3;B7YZV1;B7YZV2;Q9VKE9,#VALUE!,-1.436002373,#VALUE!,-1.782198524,#VALUE!,#VALUE!,-1.646202476,#VALUE!,#VALUE!,-1.867067874,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-2.233379398
Q7KY08;Q32KD4,-1.14193941,0.034356597,-1.73063166,#VALUE!,-1.776453884,-0.320648271,-1.31954961,0.656542133,#VALUE!,-1.85783493,-1.431987358,-1.333116184,-2.335043924,-1.161879207,-0.662368822,-1.71752461
Q9VP27,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-1.819801206,-1.099587199,#VALUE!,-1.436509917,#VALUE!,-2.40491651,-2.575185379
Q9VXC1,#VALUE!,#VALUE!,-1.386506065,#VALUE!,-1.843577494,-1.651269013,#VALUE!,#VALUE!,-2.319837702,-1.805156488,#VALUE!,#VALUE!,-1.546076864,-1.478627583,#VALUE!,-1.236129556
E1JH63;B7YZG6;A1Z9J1;E1JH62;B7YZG5;B7YZG4;A1Z9J0;A1Z9I8;A1Z9I9;B7YZG2;B7YZG3,#VALUE!,#VALUE!,-1.308465835,#VALUE!,-2.204831529,-2.630483264,-0.049158362,-1.175142554,-1.58225278,-1.793356776,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-1.212333514
Q9VJH2,-1.721039904,-1.219001268,-1.491551064,-1.682047675,-1.4965902,-0.951122139,-1.523753126,-1.356790282,-1.425268737,-1.792356987,-1.749766019,-2.281035664,-1.697967615,-1.447524556,#VALUE!,-1.365759898
Q9VF66;E1JIL7;Q86BP0;Q86BS0,#VALUE!,-1.766651825,-0.006637214,-0.750178485,0.039419183,#VALUE!,-1.466576194,-1.371982356,#VALUE!,-1.763807432,-0.046176046,-0.589984597,#VALUE!,-1.650408257,-1.526327366,-1.636167314
Q9VM47;Q8SXU2,#VALUE!,#VALUE!,#VALUE!,-0.095851205,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.660289751,-1.723658183,#VALUE!,#VALUE!,0.345396375,#VALUE!,#VALUE!,-0.837661042
Q8MZI3;Q7KU78,-1.629143838,-1.525081192,#VALUE!,-1.233141976,-2.130870855,-0.533492946,-1.329268414,#VALUE!,-1.531948506,-1.651948921,-2.084119665,-2.035224339,-0.729961508,-1.499483455,#VALUE!,-1.014907662
Q9W1T9,-2.137711287,-1.684781589,-1.36594581,-1.421206167,#VALUE!,-1.721705924,-1.538345721,#VALUE!,#VALUE!,-1.649593278,-1.66566056,-2.025030237,-1.376732435,-1.615905973,-1.275716451,-1.608936205
Q4V5I9,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.174150712,#VALUE!,#VALUE!,#VALUE!,-2.095851205,-1.607616627,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-0.869701683
A1Z9U2,-0.442908556,1.303751529,-0.264027322,0.479644475,#VALUE!,#VALUE!,#VALUE!,-0.194674522,#VALUE!,-1.517296252,0.541118304,0.353662045,0.106750315,0.404794153,0.228726355,0.294900072
