Protein IDs,Alpha A30P_day_1_1, Alpha A30P_day_1_2, Alpha _day_1_1, Alpha _day_1_2
Q8T008;A8DY95;A1Z8A7,-0.630706622,-1.048800159,-1.144903296,#VALUE!
P12252-4;P12252-5;P12252;E2QD73;P12252-6;P12252-7;Q8IRU4;P12252-3;Q9W4S9-2;Q9W4T0;Q9W4S9,-1.834030194,-2.350706453,-1.258321614,-1.648778758
Q9VIC9,-1.984845019,#VALUE!,#VALUE!,#VALUE!
Q7YU24;O18412,-1.037976699,-1.583549352,-0.954640909,-1.284686459
P08255,0.648925559,-1.958981361,#VALUE!,-0.369930078
Q9W391;Q9W391-2;B7Z134;Q6IDE0;Q1RL11,-2.141971247,#VALUE!,#VALUE!,#VALUE!
Q07093,-2.070966521,#VALUE!,-0.978434993,-1.161427356
B7YZV4;B7YZV3;B7YZV1;B7YZV2;Q9VKE9,#VALUE!,-1.436002373,#VALUE!,#VALUE!
Q7KY08;Q32KD4,-1.14193941,0.034356597,-1.431987358,-1.333116184
Q9VP27,#VALUE!,#VALUE!,-1.099587199,#VALUE!
Q9VXC1,#VALUE!,#VALUE!,#VALUE!,#VALUE!
E1JH63;B7YZG6;A1Z9J1;E1JH62;B7YZG5;B7YZG4;A1Z9J0;A1Z9I8;A1Z9I9;B7YZG2;B7YZG3,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9VJH2,-1.721039904,-1.219001268,-1.749766019,-2.281035664
Q9VF66;E1JIL7;Q86BP0;Q86BS0,#VALUE!,-1.766651825,-0.046176046,-0.589984597
Q9VM47;Q8SXU2,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8MZI3;Q7KU78,-1.629143838,-1.525081192,-2.084119665,-2.035224339
Q9W1T9,-2.137711287,-1.684781589,-1.66566056,-2.025030237
Q4V5I9,#VALUE!,#VALUE!,#VALUE!,#VALUE!
A1Z9U2,-0.442908556,1.303751529,0.541118304,0.353662045
Q9VDK7,-2.223306418,-1.208994481,-1.914956124,-1.68121463
Q9VSS1,-1.748117335,-0.005623028,-2.386921028,-0.664013752
Q9VVR9,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9VC31,#VALUE!,#VALUE!,#VALUE!,-1.095666201
Q7JV69,#VALUE!,0.080794082,-0.397847217,-0.779670045
Q7K4Q9,-1.466655938,-1.303365132,-1.36955725,-1.429614792
A8DY69;Q8SXP0,-0.404095381,-1.611711255,-0.340276337,-1.386807845
Q9VRW2,-1.458108553,-1.142162287,#VALUE!,#VALUE!
Q9W406;A8JUZ7,-0.726591533,-0.371403691,#VALUE!,#VALUE!
Q7K519,#VALUE!,-0.46534072,-0.49323559,-0.445145962
P10040;P10040-2,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9VZE7,#VALUE!,-0.376919766,-0.656535324,-0.870756555
P54367;E1JJI5,-1.102960985,-1.322577454,-0.520645252,-0.8787193
Q9V460;Q9V460-2,-1.904818211,-0.545150304,-2.170718702,-1.866699524
Q9VJG0,-2.010657503,-1.735091309,-1.280194483,-2.0899428
Q9V3F8,-1.083416352,-1.148161027,-0.883768339,-1.142990415
Q9VPK3,0.183200647,0.570560079,#VALUE!,0.219958398
Q9VDU7,-0.496366316,#VALUE!,-1.023181813,#VALUE!
Q8SX68,-0.866541688,-1.31821793,0.013783815,-1.535122662
Q9V6B9,#VALUE!,-1.280895433,-1.268121651,#VALUE!
Q8T8R1,-2.581993606,-2.481807321,0.113567157,#VALUE!
Q9W3Q1,0.281905924,#VALUE!,#VALUE!,#VALUE!
Q9VVL8,-0.976049199,-0.906737317,-0.38669467,-0.324726028
Q9VU94,-1.662414489,-1.085251803,-1.617365945,-1.633210603
Q24562,-1.275856179,-1.171108497,-1.289615625,-1.535749966
Q9VBC7,-0.645096539,-0.35882394,#VALUE!,-0.478205487
Q8STG9,-1.578757847,#VALUE!,#VALUE!,-2.134983894
Q9VL10,-1.849596299,-1.378231768,-1.807376563,-1.23575577
Q9VCC0,-1.641423694,-1.536335696,-2.025088956,-1.665202925
Q8IMM1;Q9VAU1;E1JJ08,-0.821916427,-1.128282494,-0.17193716,-1.176087633
A1Z6R7,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9VAV2,-1.179776098,#VALUE!,#VALUE!,-0.009335523
O77277,-0.902065645,-0.725446101,-0.986644941,-0.499095993
Q9VVE2;Q9VVE2-2,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9VEC2,-1.509881745,-0.758330632,-0.560004602,-1.086905708
P41964;Q9VZR2,#VALUE!,#VALUE!,#VALUE!,#VALUE!
A1ZAK7;A1ZAK8;A1ZAK9,-1.325792475,-1.883954695,-1.123999815,-1.435846241
Q23978,-0.988160903,-2.074851263,-1.872498781,-2.352252632
Q9VM22;B7Z037,0.027437183,-1.024384487,-0.472148958,-0.669625175
Q9VHP0,-2.112100457,-1.696049791,-1.29056819,-1.952042893
Q9VIU9;Q8INW2;B7YZX0;B7YZW9;Q058W1,-0.396935117,-0.613343538,-0.727737875,-0.400339428
P54352-2;P54352-3;P54352,-1.394259154,-1.143245319,-0.950982682,-0.908252782
Q8INK9-6;Q8INK9-7;Q8INK9-2;Q8INK9-3,-0.41188625,#VALUE!,-0.618428671,#VALUE!
Q7K0P0,#VALUE!,-0.348004621,#VALUE!,#VALUE!
Q9W4W8;Q8MT03,-0.522985895,0.716683672,-0.369650448,-0.152852931
Q9U5L1,-1.883741719,-1.300803755,-1.368290355,-1.564136754
Q9VSM4,-1.255218894,-1.215981883,-0.593789891,-0.964939203
Q9VCG3,#VALUE!,0.36120689,#VALUE!,#VALUE!
Q7K012,-0.916970491,-0.756989055,-0.910583206,-1.075033617
Q9W415,-1.566057758,#VALUE!,#VALUE!,#VALUE!
P92208;E1JHD6;E2QCS5,-0.501463175,-0.795233249,-0.861473837,-0.749668986
O96692;Q2MGM2,-0.769501836,-1.034367149,-0.907007819,-0.425695003
Q9W2D9,-0.7868705,-1.360156616,-1.365388146,-1.150657206
Q9Y105,-1.565289049,-1.716907942,-1.715628011,-2.424377862
P09040,#VALUE!,1.754716506,#VALUE!,#VALUE!
Q7PLL6,0.726656863,-2.630483264,-2.085404863,-1.755794882
Q9VPR5,-1.953048022,-1.275262427,-1.992747079,-1.744680559
O96299,-0.907034872,-0.567339849,-0.521866884,-0.907846698
Q9VY91,-1.339381654,-1.151458178,-1.547636512,-1.543551284
Q9NK57,-0.264720458,-0.396688189,0.884949517,#VALUE!
P42787-6;P42787-7;P42787-2;P42787-8;P42787-3;P42787;P42787-4;P42787-5,-0.192414265,-0.381122377,#VALUE!,0.030124161
Q9W107,-0.130649716,-0.214826126,#VALUE!,-0.816113366
Q7JWS8,#VALUE!,-0.596972292,-0.489909023,-0.653854367
Q9VH17;Q0KI92,-0.62215439,-0.108565259,-0.365313807,-0.434285854
Q8MM24,#VALUE!,0.358846331,-0.019579795,-0.064057549
Q9VFM9,-0.794632512,-1.20114487,-0.672749534,-0.990968205
P08182;P08182-3;A4V4C1,0.75787666,#VALUE!,-0.495491468,-0.615463849
